allmb_name	gbif_species_key	num_occurrences	myco_state
Malus_pumila	3001093	116673	arbuscular
Malus_orientalis	3001509	72092	ecto
Malus_fusca	3001080	2204	arbuscular
Malus_micromalus	3001102	180	arbuscular
Malus_prunifolia	3001157	1025	arbuscular
Malus_mandshurica	4272229	631	neither
Malus_sieboldii	3001650	4627	arbuscular
Docynia_indica	3025442	111	arbuscular
Malus_angustifolia	3001548	1547	arbuscular
Malus_leiocalyca	3001215	23	arbuscular
Aronia_melanocarpa	5363627	4063	arbuscular
Photinia_prunifolia	5363844	521	arbuscular
Photinia_villosa	5363819	3221	arbuscular
Photinia_glabra	5363818	1393	ecto
Cydonia_oblonga	5362215	5315	arbuscular
Mespilus_germanica	3031774	25252	arbuscular
Sorbus_sibirica	3012167	474607	arbuscular
Amelanchier_ovalis	3023878	61216	arbuscular
Osteomeles_anthyllidifolia	3024832	562	arbuscular
Spiraea_chamaedryfolia	3026406	3851	arbuscular
Prunus_virginiana	3021850	117798	arbuscular
Prunus_phaeosticta	3022290	2402	arbuscular
Prunus_reflexa	3023815	1092	arbuscular
Prunus_spinosissima	3021640	84	arbuscular
Prunus_schlechteri	3022028	254	arbuscular
Prunus_occidentalis	3020745	299	arbuscular
Prunus_microcarpa	3021376	312	ecto
Prunus_arborea_var._stipulacea	8406191	1283	arbuscular
Prunus_integrifolia	8345311	891	arbuscular
Prunus_undulata	3021987	1016	arbuscular
Prunus_debilis	3022573	406	arbuscular
Prunus_sellowii	3023815	1092	arbuscular
Prunus_vana	3022573	406	arbuscular
Prunus_grisea	8206304	1071	arbuscular
Prunus_tucumanensis	3021562	105	arbuscular
Prunus_amplifolia	3021832	120	arbuscular
Prunus_mongolica	3023152	26	arbuscular
Prunus_chamissoana	3022148	80	arbuscular
Prunus_huantensis	3021720	131	arbuscular
Prunus_accumulans	3023040	15	arbuscular
Prunus_detrita	3021980	12	arbuscular
Prunus_opaca	3021834	114	arbuscular
Pygeum_topengii	3021682	211	arbuscular
Physocarpus_opulifolius	2988354	5886	arbuscular
Ficus_virens	9512597	5717	arbuscular
Ficus_septica	7852448	3107	arbuscular
Ficus_racemosa	5361904	2077	arbuscular
Ficus_pandurata	8037208	612	neither
Ficus_sur	5569827	4462	arbuscular
Ficus_botryoides	5571286	122	arbuscular
Ficus_mucuso	5570950	659	arbuscular
Ficus_variegata_Blume__1825	3234563	2271	arbuscular
Ficus_semicordata	7422755	487	arbuscular
Ficus_nervosa	7262544	1158	arbuscular
Ficus_americana	5361926	7014	arbuscular
